cro_name	parent	cro_type	hq_country	assay_families	specific_assays	sample_types	accreditation	patient_capable	url	services_url
Q² Solutions (IQVIA Labs)	IQVIA	multi_assay_clinical	US	Genomics; Proteomics; Biomarker; Bioanalytical; Vaccine; Anatomic Pathology	Clinical Genomics; Discovery Sciences; LC-MS biomarker; Central Lab; Vaccine Lab	plasma; serum; whole_blood; FFPE; frozen_tissue; PBMCs; urine	GLP; GCLP; CAP; CLIA	yes	https://labs.iqvia.com/	https://labs.iqvia.com/services
Labcorp Central Laboratory Services	Labcorp Holdings	multi_assay_clinical	US	Genomics; Biomarker; Flow Cytometry; Digital Pathology; Bioanalytical; Anatomic Pathology	NGS; gene expression; microRNA; genotyping; pharmacogenomic; flow cytometry; digital pathology; 4500+ assay menu	plasma; serum; whole_blood; FFPE; frozen_tissue; PBMCs; urine; CSF	CAP; CLIA; GLP; GCLP	yes	https://www.labcorp.com/	https://www.labcorp.com/biopharma/central-labs
PPD Laboratories (Thermo Fisher)	Thermo Fisher Scientific	multi_assay_clinical	US	Genomics; Proteomics; Biomarker; Flow Cytometry; Bioanalytical; Vaccine	molecular genomics suite (Richmond VA); LC-MS/MS; ELISA; ECL; microfluidic ELISA; flow cytometry; Olink (PEA via Thermo)	plasma; serum; whole_blood; FFPE; frozen_tissue; PBMCs; urine	CAP; CLIA; GLP; GCLP	yes	https://www.ppd.com/	https://www.ppd.com/our-solutions/ppd-laboratories/
ICON Central Laboratories	ICON plc	multi_assay_clinical	IE	Genomics; Biomarker; Flow Cytometry; Bioanalytical; Specialty	RNA-seq (Illumina Stranded Total RNA Ribo-Zero Plus); Illumina TSO500 ctDNA + solid tumor v2; WES (Agilent SureSelect v8); flow cytometry (receptor occupancy, immunophenotyping, rare event)	plasma; serum; whole_blood; FFPE; frozen_tissue; PBMCs	CAP; CLIA; GLP; GCLP (clinical-trial-only)	yes	https://www.iconplc.com/	https://www.iconplc.com/solutions/laboratories
Eurofins Genomics + Biopharma	Eurofins Scientific	multi_assay_clinical	LU	Genomics; Epigenomics; Bioanalytical; Biomarker	NGS (Illumina); Sanger; methylation; miRNA; genotyping; gene expression; whole transcriptome	whole_blood; FFPE; frozen_tissue; liquid biopsy plasma; tissue	CAP; CLIA (regional); ISO 17025	yes	https://www.eurofins.com/	https://www.eurofins.com/biopharma-services/genomic-services/
Charles River Laboratories	—	multi_assay_clinical	US	Bioanalytical; Biomarker; Clinical Pathology; Immunoassay	LC-MS/MS; ligand binding; flow cytometry; qPCR; NanoString; Gyrolab; ELISpot; clinical chemistry; hematology; coagulation; urinalysis	plasma; serum; whole_blood; tissue; CSF; PBMCs	GLP; GCLP; 21 CFR Part 11	yes	https://www.criver.com/	https://www.criver.com/products-services/lab-sciences/bioanalysis
BioAgilytix Labs	—	multi_assay_clinical	US	Bioanalytical; Biomarker; Cell-based	LC/MS; ELISA; ECL (MSD); flow cytometry; Luminex; PCR/ddPCR; ImmunoCAP; Gyrolab; Biacore; ELISpot; Roche Cobas	plasma; serum; whole_blood; PBMCs; urine; tissue lysate	GLP; GCLP; GxP	yes	https://bioagilytix.com/	https://bioagilytix.com/services/
Frontage Laboratories	—	multi_assay_clinical	US	Bioanalytical; Genomics; Biomarker; Central Lab	LC-MS/MS; ligand binding; flow cytometry; cell-based; oncology genomics; pharmacogenetics; microbiome	plasma; serum; whole_blood; FFPE; frozen_tissue; stool	200+ FDA inspections; GLP; GCLP	yes	https://www.frontagelab.com/	https://www.frontagelab.com/clinical-laboratories/
GENEWIZ from Azenta	Azenta Life Sciences	specialty_genomics	US	Genomics; Epigenomics; Single-cell	NGS (Illumina NovaSeq X; PacBio Revio HiFi; ONT PromethION/GridION); scRNA-seq (5'/3'); B/T cell receptor pairing; methylation seq (RRBS; EM-seq; WGBS)	cells (live; cryo; fixed); tissue; FFPE; gDNA; RNA; organoids	CLIA (US site); ISO 17025	yes	https://www.genewiz.com/	https://www.genewiz.com/public/services/next-generation-sequencing
Novogene	Novogene Co. Ltd	specialty_genomics	CN; UK; US; SG	Genomics; Epigenomics; Transcriptomics	WGS (human + animal); WES; RNA-seq (coding; non-coding; whole transcriptome); WGBS; RRBS; metagenomic	whole_blood; tissue; FFPE; gDNA; RNA	CAP (US); ISO 17025	yes	https://www.novogene.com/	https://www.novogene.com/us-en/services/research-services/genome-sequencing/
BGI Genomics	BGI Group	specialty_genomics	CN	Genomics; Transcriptomics; Metagenomics	WGS (DNBSEQ proprietary); WES; RNA-seq (15+ years); bisulfite seq; metagenomic; low-pass WGS for biobank profiling	whole_blood; tissue; FFPE; single-cell; gDNA	CAP; CLIA (regional); ISO 15189	yes	https://www.bgi.com/	https://www.bgi.com/us/sequencing-services/
Diagenode	Hologic	specialty_epigenomics	BE	Epigenomics	ChIP-seq; ATAC-seq; CUT&Tag; CUT&RUN; targeted methyl-seq; RRBS; WGBS; EM-seq; methylation array	cells; FFPE; frozen_tissue; gDNA	GxP	yes	https://www.diagenode.com/	https://www.diagenode.com/en/categories/Services
Active Motif	—	specialty_epigenomics	US	Epigenomics; Single-cell	ChIP-Seq (with spike-in normalization); CUT&Tag; CUT&RUN; ATAC-Seq; RRBS; methylation profiling; IP-mass spec; single-cell	FFPE; PBMCs; low-input cells; tissue; gDNA	—	yes	https://www.activemotif.com/	https://www.activemotif.com/catalog/704/epigenetic-services
EpigenDx	—	specialty_epigenomics	US	Epigenomics; Molecular Diagnostics	bisulfite pyrosequencing; targeted NGS methylation; methylation array; LINE-1 global methylation; MGMT promoter; thousands of pre-validated methylation assays	whole_blood; FFPE; frozen_tissue; gDNA	CLIA	yes	https://www.epigendx.com/	https://www.epigendx.com/d/service/pyrosequencing/
Metabolon	—	specialty_metabolomics	US	Metabolomics; Lipidomics	HD4 untargeted LC-MS/MS (1458 plasma metabolites; 5400+ across pathways); targeted panels; biomarker discovery	plasma; serum; urine; tissue; feces; sweat; cells	CAP; CLIA; NY State Clinical Lab Permit; ISO 9001:2015; GCP; GCLP	yes	https://www.metabolon.com/	https://www.metabolon.com/services/
Biognosys	—	specialty_proteomics	CH	Proteomics	HRM DIA-MS (TrueDiscovery); plasma biomarker discovery (P2 enrichment up to 7000 proteins); tissue proteomics up to 13000 proteins	plasma; serum; biofluids; tissue	GxP (research-grade)	yes	https://biognosys.com/	https://biognosys.com/services/platforms-applications/
Caprion (CellCarta)	CellCarta	specialty_proteomics	CA	Proteomics; Mass Cytometry; Immune Monitoring	gel-free label-free LC-MS/MS (ProteoCarta); MRM custom multiplex panels up to 350 proteins; mass cytometry CRO services	plasma; serum; PBMCs; tissue	7 accredited facilities; GLP; GCLP	yes	https://caprion.com/	https://caprion.com/mass-spectrometry-based-biomarker-services/
Eve Technologies	—	specialty_immunoassay	CA	Multiplex Immunoassay	Luminex multiplex cytokine/chemokine; Meso Scale Discovery; ELISA	plasma EDTA; serum; urine; CSF; cell supernatant	CLIA (for patient diagnostics arm)	yes	https://www.evetechnologies.com/	https://www.evetechnologies.com/discovery-assays/
